Crop,Latitude,Longitude,Season,Year
Cotton,10.305165048305415,78.37054273786636,Rabi,2007
Maize,8.897598843170613,79.70424481450148,Kharif,2020
Rice,10.93494659871542,78.18512742400284,Rabi,2021
Rice,9.593167127600601,78.44057254911128,Kharif,2018
Rice,8.298666438357099,81.0816769796639,Whole Year,2008
Cotton,10.90741610638053,80.5397271535566,Kharif,2012
Cotton,11.946782169680597,78.45764914887738,Whole Year,2001
Cotton,11.866472132731435,77.85316047874369,Whole Year,2016
Groundnut,9.972686131604958,79.86634387434873,Rabi,2000
Rice,11.84331827541996,80.45261809806841,Kharif,2009
Cotton,8.047703608010313,81.2856970408521,Whole Year,2010
Cotton,12.48369615862283,78.73037052000915,Kharif,2008
Rice,10.163290422729375,79.49386940222023,Rabi,2017
Cotton,11.073541800528108,78.6920060562207,Whole Year,2015
Rice,9.198525090906994,79.2112400761782,Whole Year,2008
Cotton,8.22791498070407,80.82470894891898,Kharif,2019
Maize,13.130042915601349,79.53934936005517,Whole Year,2018
Groundnut,8.3752234451023,78.64176622465405,Rabi,2021
Rice,13.470572565471468,78.43051422455117,Kharif,2019
Cotton,8.35335022354291,78.21737597763676,Rabi,2006
Maize,11.207585750695484,80.12671466445997,Whole Year,2008
Cotton,11.266042188656472,77.72526504749733,Whole Year,2019
Maize,10.719907488847891,77.23654792406066,Whole Year,2020
Cotton,9.170793520228091,81.02220967253388,Rabi,2009
Cotton,12.620519649886278,80.88924200539783,Whole Year,2020
Groundnut,12.557373337896777,78.01901716624295,Whole Year,2009
Groundnut,11.512117567427161,80.78372299428285,Whole Year,2010
Rice,11.437255107784459,79.2134086531542,Rabi,2015
Rice,11.962354636710865,78.28710759693564,Rabi,2005
Rice,12.775912646486768,80.17236927384337,Kharif,2007
Rice,8.051156557657231,79.58305161472464,Kharif,2001
Rice,10.535232572395838,80.03761048472988,Rabi,2006
Rice,9.611098101144085,78.02220853474003,Kharif,2009
Rice,9.727418696858543,81.0256262751731,Whole Year,2012
Cotton,10.768604277644206,81.06402208011579,Whole Year,2022
Cotton,11.415353485784753,79.19317354555625,Rabi,2000
Cotton,12.626063086822079,78.68146235584646,Whole Year,2010
Cotton,9.06360833651913,79.02539414481629,Kharif,2007
Cotton,12.993889211014842,81.1156862161223,Kharif,2017
Groundnut,9.471917173463785,78.85782022437311,Rabi,2004
Maize,10.6219762075759,78.67373501624357,Whole Year,2017
Maize,8.235703621413576,77.74315842063989,Whole Year,2023
Maize,8.205985879287425,80.5930918482139,Kharif,2003
Rice,10.287748240288376,78.55150514999211,Kharif,2005
Groundnut,10.25152335437064,80.46224617184319,Kharif,2009
Groundnut,9.82464259239545,78.34745706748907,Rabi,2013
Rice,10.301773151861582,77.81369461607092,Rabi,2012
Cotton,9.022342970889216,80.89526750797812,Kharif,2022
Rice,10.518948375521017,78.30228863234393,Kharif,2008
Groundnut,10.49818394199702,81.45731777913177,Kharif,2009
Rice,12.30082923251133,77.65174827020618,Kharif,2014
Groundnut,8.869949092842889,77.10016884578556,Whole Year,2022
Cotton,11.512713744936564,77.56332610518379,Kharif,2003
Cotton,9.500598065066365,81.41441967481286,Rabi,2021
Maize,9.482467716468076,78.5827408979256,Rabi,2010
Cotton,10.37465901969093,79.69861977918974,Rabi,2003
Rice,11.801141763565832,77.36418025866178,Whole Year,2019
Cotton,12.424461216411842,78.9555668360391,Kharif,2018
Groundnut,13.326190368314583,78.752547552477,Kharif,2001
Groundnut,11.604398456694078,78.90481413003462,Whole Year,2023
Maize,10.563275614756996,80.15360835127272,Kharif,2017
Maize,13.47154457633259,77.42386375501265,Rabi,2017
Groundnut,8.038536540943355,79.20554535182009,Whole Year,2011
Groundnut,11.212492270768008,78.16152955938777,Whole Year,2019
Rice,11.701948501544507,78.88141460177155,Kharif,2019
Rice,10.955163446779645,77.08891149127798,Whole Year,2006
Rice,11.178560431274018,77.59063073276425,Kharif,2015
Cotton,10.275140790126931,79.43233499614391,Kharif,2012
Groundnut,10.894601391189564,78.65134829477807,Kharif,2001
Cotton,10.975302757949862,78.39697920684351,Kharif,2000
Maize,12.328304496569038,78.87476532865163,Rabi,2004
Groundnut,11.714987997832331,78.1820650398821,Rabi,2012
Cotton,12.000374086473204,80.60104672349674,Rabi,2005
Groundnut,11.911102992098124,79.53992527328887,Whole Year,2008
Rice,12.427192313689247,81.3013455083559,Whole Year,2015
Rice,12.901031571561871,77.38081950965459,Whole Year,2011
Groundnut,12.229437271039613,79.02649688692833,Rabi,2019
Maize,9.987864000222755,79.83977407675741,Rabi,2011
Groundnut,11.98842551225058,79.56263544503705,Rabi,2014
Groundnut,12.352779302445715,77.30846044337535,Rabi,2007
Groundnut,10.60052113702697,77.17867676705798,Rabi,2020
Rice,10.086515671179985,80.37872337351038,Rabi,2004
Maize,12.65173372263382,79.2313565473925,Kharif,2000
Maize,9.431463848233314,77.78400779871038,Rabi,2015
Rice,10.656073390457276,80.60385122292462,Kharif,2016
Rice,11.33617385271365,81.05858720839316,Whole Year,2003
Groundnut,13.058127702477973,80.1574329434209,Kharif,2014
Maize,9.5934785853519,79.97137111823002,Kharif,2009
Groundnut,10.325452312114935,79.01181949371718,Whole Year,2014
Maize,12.116512428971564,77.60611569730105,Rabi,2022
Cotton,12.619172003043754,79.14327278803904,Whole Year,2020
Maize,11.706435278941484,81.24815079561668,Whole Year,2002
Maize,8.480650507491086,77.90830594392085,Whole Year,2007
Maize,13.328224618896545,77.71519522114944,Kharif,2006
Groundnut,12.752887020952754,79.84207807619408,Kharif,2020
Rice,10.32609505148699,78.49767698294706,Whole Year,2008
Rice,10.094466876274213,79.71919076814024,Kharif,2013
Groundnut,13.30346478952417,79.1950868828598,Rabi,2017
Cotton,12.363013135363468,78.40454935520849,Kharif,2003
Rice,10.45503648597499,78.34786609500657,Whole Year,2002
Groundnut,10.18110356792347,77.6089653878429,Whole Year,2019
Maize,8.152194117005015,80.75946952524619,Whole Year,2019
Groundnut,13.396383169075085,79.49016854988102,Rabi,2022
Cotton,12.203315621748288,79.28302203350641,Kharif,2019
Groundnut,12.640107030183088,78.64542699048457,Whole Year,2003
Maize,11.577474171434275,80.16023466509176,Rabi,2014
Maize,11.051535902319731,79.5891291268816,Whole Year,2006
Groundnut,9.16667428322757,77.52387186427362,Rabi,2006
Cotton,12.516638481239966,77.01782849037497,Kharif,2003
Cotton,12.072409621634883,77.63584737506262,Kharif,2019
Cotton,13.43862852508143,78.75654713829476,Kharif,2010
Rice,9.35249302381006,78.0973673569345,Rabi,2002
Cotton,9.228082850436392,77.06734786316056,Kharif,2007
Cotton,9.873900365065435,77.03646369610429,Rabi,2013
Rice,11.867393994238528,80.48534346423698,Kharif,2005
Groundnut,12.862481225866581,79.00167737664451,Rabi,2006
Groundnut,10.153395744944378,80.57934669075523,Whole Year,2002
Groundnut,8.586388915472673,78.25083958443781,Whole Year,2018
Maize,9.935592039165229,79.54792260850073,Rabi,2005
Groundnut,8.317015277157571,81.2895795993589,Rabi,2009
Cotton,11.259821932768814,78.02837891955306,Whole Year,2023
Groundnut,12.983768149970679,79.78570546186296,Rabi,2004
Groundnut,11.432056471255132,79.68141114236175,Kharif,2007
Rice,8.045678095307466,77.96311576179453,Whole Year,2003
Maize,10.912546355157215,79.52685932518864,Whole Year,2020
Cotton,12.320055122484671,77.02123519667444,Rabi,2007
Cotton,10.187638641913596,81.09198598757023,Rabi,2008
Cotton,9.989469234531644,77.31190348079626,Rabi,2008
Rice,13.088169320830009,78.4473300423267,Whole Year,2004
Rice,11.035551226273926,77.70623219913789,Kharif,2018
Cotton,12.05127138027176,79.56949816104749,Rabi,2001
Rice,12.416564468078603,78.50184460317652,Whole Year,2015
Cotton,10.00605835480009,79.9647538984498,Whole Year,2016
Groundnut,10.985433088111183,79.8492726892442,Whole Year,2003
Groundnut,12.676772559217177,80.70971911698386,Rabi,2002
Cotton,10.162714304820781,80.3610728088702,Kharif,2021
Cotton,12.592497147899417,81.25260826885916,Whole Year,2010
Groundnut,8.88841209577895,77.56427934417556,Kharif,2017
Cotton,11.499699998823031,78.14025964202759,Kharif,2005
Cotton,10.38258487201049,81.28610591864886,Kharif,2016
Groundnut,8.755281121551288,79.20537936205199,Whole Year,2018
Groundnut,11.615018152562726,78.0614379532507,Kharif,2004
Rice,10.581982105713072,77.89654202962544,Rabi,2020
Maize,10.69918686380112,79.77073517751228,Whole Year,2022
Rice,10.691505766889836,77.28861361511906,Rabi,2009
Groundnut,10.559050610335728,77.40208658613179,Kharif,2016
Maize,11.37848125111029,77.74394679420996,Kharif,2023
Groundnut,9.43533154690436,79.09461114104373,Rabi,2024
Rice,10.766524182254422,77.39757427831445,Whole Year,2012
Rice,11.798376602304783,78.07700835719473,Rabi,2005
Groundnut,11.64223982734318,79.40959649924358,Rabi,2019
Groundnut,11.125280896392024,78.00887017268737,Rabi,2003
Rice,9.146723058283403,77.76601903397673,Whole Year,2017
Cotton,13.032179437659696,80.51784247996146,Whole Year,2022
Rice,9.65453365024373,77.16357861941064,Rabi,2005
Cotton,9.115858773548593,78.9435024996675,Kharif,2024
Maize,8.835313697250273,80.6957232976317,Rabi,2013
Groundnut,11.104381002091447,80.9964501981728,Whole Year,2016
Groundnut,9.373086527118122,77.35683400082854,Whole Year,2015
Cotton,10.837308395209917,78.3440610060293,Rabi,2021
Rice,10.64871361326815,78.67587300145141,Whole Year,2012
Maize,8.531069758016192,80.26073211949812,Rabi,2014
Maize,12.87896439039794,81.12578533469805,Rabi,2019
Groundnut,11.76038511693405,77.75949179598103,Kharif,2001
Groundnut,10.756513126804347,80.03937969070721,Kharif,2024
Cotton,9.496216796230032,80.2926437312787,Whole Year,2014
Maize,12.168474647649333,77.67162469934958,Kharif,2023
Cotton,13.209312089876494,78.38812972154199,Kharif,2018
Groundnut,11.783724939318098,78.58828253969692,Rabi,2005
Groundnut,11.212330742802742,80.91468471078956,Whole Year,2016
Groundnut,8.669049710653415,77.16171123378449,Rabi,2002
Cotton,9.453432029531896,80.76187474871553,Rabi,2002
Rice,11.388811851467006,80.18616700929198,Rabi,2018
Rice,9.210627641031579,78.93097228572205,Rabi,2013
Groundnut,8.487901709312062,80.91877185163378,Kharif,2002
Cotton,11.815883423172949,78.67165843428748,Whole Year,2011
Groundnut,13.1383796478496,80.06189999327863,Rabi,2000
Cotton,13.09120669336534,77.4305925535844,Whole Year,2009
Maize,9.713615686265161,80.00672035871092,Whole Year,2019
Groundnut,11.693444668809775,79.54231750624473,Whole Year,2021
Rice,9.582026132400905,78.10648089144077,Rabi,2010
Groundnut,9.663656346421867,81.13660574429092,Whole Year,2001
Maize,9.59968160628425,78.56361855343138,Kharif,2006
Maize,12.816799841822508,77.69704473609161,Rabi,2003
Cotton,9.138514719485396,80.46319538880248,Kharif,2009
Groundnut,8.980381877249044,77.60590590800714,Kharif,2016
Cotton,11.069032797021176,80.68570500898942,Kharif,2010
Groundnut,13.106716959467999,78.89926325336565,Whole Year,2021
Cotton,11.520537013064784,81.23941448647984,Whole Year,2024
Rice,11.336779497006576,78.19501397789996,Rabi,2023
Maize,11.24211536619099,78.64988865686725,Kharif,2014
Cotton,12.847185384849169,79.06537880245797,Kharif,2016
Groundnut,12.199399087009827,79.87545213267474,Whole Year,2023
Rice,10.497503830741124,80.27261171034483,Rabi,2014
Groundnut,12.027469980430588,77.76007454563654,Rabi,2019
Maize,9.389498336361951,78.22196437058244,Kharif,2024
Maize,10.416404516763926,79.67914815471782,Rabi,2017
Groundnut,8.644668308160249,81.06567947742613,Whole Year,2000
Rice,11.736085751598504,80.4313139003157,Kharif,2012
Cotton,10.472352972779404,77.8291594926787,Kharif,2024
Cotton,10.620355231873768,81.324486543119,Kharif,2004
Rice,8.09318830469531,79.25288047577898,Rabi,2005
Cotton,8.441900413641534,77.08391718234799,Kharif,2000
Groundnut,11.940237448849558,77.07918790308435,Rabi,2024
Groundnut,10.801625168607568,78.94643850025103,Kharif,2010
Rice,10.820255194677712,77.63633102272706,Whole Year,2015
Rice,10.05414133122764,77.43954727472772,Kharif,2005
Rice,12.201098075761188,77.33686388788705,Whole Year,2023
Cotton,11.304929974577394,80.15712897047325,Rabi,2000
Maize,11.600732927444085,77.84138473590707,Rabi,2000
Rice,10.454355409880803,81.37250607993923,Rabi,2013
Maize,13.005407238317876,78.33653555893439,Whole Year,2009
Rice,10.923883752549393,79.7749235865861,Rabi,2024
Maize,13.385489420317544,80.37197293949393,Rabi,2016
Maize,11.779821612774484,79.16872934947632,Whole Year,2005
Cotton,8.225716728669438,79.42967455221009,Whole Year,2012
Maize,13.344645022397433,78.69266968429744,Rabi,2020
Rice,9.013958093748895,79.83700646302212,Rabi,2016
Maize,10.593300714790239,77.51091758819581,Rabi,2020
Maize,8.729423309255772,78.2454628031212,Kharif,2007
Maize,9.585912102567498,78.51275527559504,Rabi,2000
Cotton,8.284419884061602,79.30188685243229,Whole Year,2018
Maize,13.390926777120217,80.39151263916604,Kharif,2018
Cotton,8.44380550089752,79.84940144649664,Rabi,2021
Cotton,8.838194835922787,81.40023166894817,Kharif,2024
Maize,13.150430132278355,78.45988547811376,Kharif,2010
Maize,9.221486650207254,80.35949155742345,Whole Year,2020
Rice,10.727334643850956,77.35633781834298,Kharif,2023
Maize,11.286712592016617,81.49413488062372,Kharif,2003
Rice,8.180232193614644,80.3137889687572,Rabi,2004
Groundnut,11.29107981718241,79.48966892756819,Whole Year,2009
Cotton,8.027257673224838,77.28800830551556,Kharif,2008
Maize,12.98420330132712,80.91536503996561,Whole Year,2002
Groundnut,13.210321128590145,78.40281906368804,Rabi,2014
Maize,9.084566895452372,79.17022566160792,Whole Year,2022
Groundnut,13.415460611741308,77.81379872457617,Kharif,2005
Cotton,10.340327430426708,78.33744631519717,Rabi,2002
Maize,8.517618243339827,78.99303956290632,Kharif,2021
Maize,9.406266074051793,77.65990343746137,Whole Year,2021
Cotton,9.921176963868652,79.42681820157247,Rabi,2023
Groundnut,12.460838836828334,78.83124864301608,Rabi,2010
Groundnut,10.491792547748654,80.7931188471416,Rabi,2001
Maize,9.751830808801664,78.24612794280151,Whole Year,2017
Cotton,11.063835621598818,79.85786337196261,Kharif,2016
Groundnut,10.022231631480103,79.32180653039121,Kharif,2009
Cotton,8.307595285949796,79.3500948446731,Kharif,2023
Cotton,8.490659824603279,78.04398607790334,Whole Year,2021
Cotton,9.791911559479756,80.22478283246119,Kharif,2013
Maize,12.591103619771285,81.2456596554084,Rabi,2014
Maize,12.495616377115118,80.27851652634193,Whole Year,2020
Cotton,12.425925165109824,79.22236194781172,Whole Year,2014
Rice,8.849423571092203,80.17375543731377,Rabi,2005
Cotton,10.73338882909663,80.21430539928308,Whole Year,2008
Maize,12.580500791813071,77.55808639210079,Whole Year,2013
Maize,8.888409361535398,79.72225429161506,Rabi,2004
Maize,11.09429813788359,80.02684296092538,Kharif,2023
Maize,12.83314145871583,81.19495650080573,Rabi,2011
Rice,8.564982258920908,81.07163287324681,Kharif,2013
Rice,13.039327660443936,79.449596478911,Whole Year,2011
Rice,11.319709638662665,79.06947347096379,Rabi,2016
Rice,11.185044441471279,79.14970506444666,Whole Year,2010
Maize,10.366055908068628,78.94481382797684,Rabi,2001
Maize,11.279237671449534,77.73809712273369,Rabi,2015
Rice,13.291796309788271,80.92942064839549,Rabi,2008
Cotton,10.643852700233502,80.09004713787601,Whole Year,2015
Cotton,10.753530079353588,79.80747556241829,Kharif,2019
Cotton,9.560876189435668,80.49080174190898,Kharif,2014
Groundnut,9.069847412917394,81.220745475928,Kharif,2013
Maize,8.47743562968502,80.71261401394601,Kharif,2013
Maize,8.709652026510584,79.83078691566217,Kharif,2021
Cotton,13.472608358013435,77.43566552430988,Rabi,2021
Cotton,11.12335168813885,79.62339452056722,Whole Year,2008
Groundnut,12.462485947057438,79.95240943800685,Whole Year,2006
Cotton,13.198796338096301,78.03677736094208,Rabi,2018
Cotton,8.721444312055254,81.36803677108671,Whole Year,2017
Rice,8.643401395839984,80.64773902630506,Whole Year,2003
Rice,10.042404788163125,81.06155323780969,Kharif,2002
Cotton,12.025896594740892,79.9446113795442,Kharif,2005
Cotton,12.826878116504208,79.03363802013506,Kharif,2005
Maize,11.537798634028501,81.04979147611502,Kharif,2018
Cotton,12.811359635148486,80.80427877415185,Whole Year,2019
Rice,9.781894917272371,80.12783649919875,Kharif,2023
Groundnut,10.43700945225227,78.95878254130598,Kharif,2004
Groundnut,13.118392212908486,80.96921193712234,Whole Year,2006
Rice,12.097949979537086,78.71992042804713,Rabi,2004
Groundnut,13.377133590410297,81.17144608242768,Whole Year,2023
Cotton,10.515787061628671,78.41579614112212,Whole Year,2019
Rice,11.16034231390665,77.41763694740654,Rabi,2001
Maize,9.490749594337693,78.04321499755171,Kharif,2010
Cotton,9.19962783702019,77.67138280712292,Kharif,2003
Rice,12.263239342745273,80.53877286686176,Rabi,2004
Groundnut,9.255534767670625,77.53116647120636,Rabi,2016
Maize,12.656513473092007,79.41953127461419,Rabi,2003
Groundnut,11.98460501531067,80.63034621226335,Rabi,2014
Maize,12.737651217289155,81.07448050025735,Whole Year,2000
Cotton,12.650431546379373,80.41507357604111,Kharif,2011
Groundnut,10.86232333897735,79.25512815469334,Rabi,2018
Groundnut,8.630899654622826,80.77058277880829,Rabi,2005
Maize,12.897348658732579,79.92309260823839,Rabi,2014
Rice,10.59592239722191,79.77303067271137,Kharif,2014
Rice,8.067196488813497,80.39707904005418,Rabi,2023
Rice,13.039830544000717,78.206709426625,Kharif,2016
Rice,11.007927908155168,77.91510959909857,Whole Year,2007
Cotton,13.119009894496887,80.8001674513706,Rabi,2024
Rice,10.269821696947618,77.13890439053168,Kharif,2018
Rice,10.590505024205005,80.36703760759733,Kharif,2017
Groundnut,12.080847833753753,77.06390988826978,Whole Year,2017
Maize,12.606039417496573,81.17830840837814,Kharif,2012
Cotton,11.751347617156267,80.44486994516531,Kharif,2018
Cotton,8.64180079189125,80.00337610396446,Kharif,2014
Maize,8.309100703315456,77.8191530182701,Rabi,2012
Maize,13.108871558049362,80.80587273114718,Kharif,2006
Groundnut,12.215552145466386,80.66044655229604,Kharif,2001
Groundnut,12.513007786612036,78.97120082286345,Rabi,2021
Groundnut,10.825159856886195,80.19152946522668,Rabi,2012
Maize,12.186823927642239,80.69074369203834,Kharif,2016
Groundnut,12.338283962008795,78.36474174140567,Whole Year,2010
Rice,10.236914949676777,77.55658837161378,Rabi,2015
Rice,12.631531614437385,77.46228542671682,Whole Year,2021
Maize,12.480910237071049,79.26492124934961,Rabi,2008
Maize,11.173871281924955,80.57536891717757,Kharif,2006
Groundnut,9.723356912676048,77.76838431427716,Whole Year,2004
Rice,10.200686977157389,79.8083075211628,Rabi,2007
Cotton,12.878213189565244,79.52529259705126,Kharif,2005
Maize,12.830688052061815,77.05682127457568,Whole Year,2020
Rice,10.588365660515796,79.20496784168265,Rabi,2009
Cotton,13.24714140824306,77.08348703691118,Whole Year,2012
Cotton,9.317130011126846,80.45953799552603,Kharif,2016
Cotton,11.978119744550629,79.16457746847998,Rabi,2024
Cotton,11.877890049588267,79.50018986109423,Rabi,2012
Cotton,8.922067552721252,78.46536685585482,Whole Year,2005
Rice,10.588706525378234,80.08338304532919,Whole Year,2024
Rice,8.105203190492727,77.88736915036073,Whole Year,2015
Maize,12.597539827459528,79.73915618069012,Kharif,2007
Groundnut,12.145009948540725,80.68352347023412,Whole Year,2015
Rice,10.428637728998712,81.11383703850427,Kharif,2003
Rice,8.968522461155223,78.9127580627073,Kharif,2018
Maize,11.301544638199704,77.22037901060527,Rabi,2011
Rice,9.613269867436724,79.96403849294947,Kharif,2011
Rice,10.482758615868466,81.11334456327299,Kharif,2018
Rice,12.314982775169973,78.93164590108324,Kharif,2009
Cotton,8.061729697630435,81.47055309716177,Whole Year,2018
Groundnut,10.907521136845617,79.8247174110827,Rabi,2000
Rice,10.100635323689762,79.3220808166562,Rabi,2010
Groundnut,11.309545753499101,79.61539012257884,Rabi,2006
Rice,11.551928385080219,79.63909101537001,Rabi,2010
Rice,11.85566467340044,78.54690996176068,Whole Year,2002
Maize,10.698598097979778,81.00437509110452,Kharif,2023
Groundnut,8.153531850593252,78.96808676970208,Kharif,2005
Rice,10.302926699723063,77.19266614063777,Rabi,2006
Maize,8.378218827825823,80.7067468184227,Rabi,2013
Maize,8.61379286346488,77.42787251758364,Whole Year,2000
Maize,9.239231291952763,80.63272018653817,Whole Year,2003
Maize,8.336868715955628,79.33072775578977,Whole Year,2002
Cotton,11.530360270034073,81.4467708307938,Rabi,2005
Maize,8.785512596058595,79.70278087171363,Whole Year,2023
Cotton,13.49874959199752,78.61178088545242,Rabi,2021
Rice,9.611196559999726,77.36718091327727,Rabi,2012
Cotton,11.009176719070345,79.45538516828337,Whole Year,2024
Groundnut,11.224532137717892,81.34434479395568,Kharif,2015
Rice,13.175829775870046,78.9196933881701,Rabi,2012
Groundnut,9.989576744407724,77.9466079137239,Whole Year,2019
Groundnut,10.882805812057118,78.41979958136059,Whole Year,2019
Cotton,10.209947634424399,77.28522889920913,Kharif,2017
Rice,13.061854220068636,77.49052861769314,Kharif,2022
Maize,8.332671589062409,77.9040927490502,Rabi,2015
Groundnut,8.628687389422561,77.20524507372411,Kharif,2004
Rice,8.829057489303777,79.69736812372308,Kharif,2002
Cotton,12.40756205344341,78.21597117903677,Whole Year,2007
Cotton,13.321793388985832,80.9786444325978,Rabi,2011
Groundnut,12.62421171444334,79.02691790750283,Kharif,2005
Rice,8.75232945631262,81.08566908054712,Kharif,2022
Groundnut,8.054790397096495,80.91730808012618,Whole Year,2006
Cotton,10.635757642089722,80.87688535705428,Rabi,2011
Rice,9.389279779068827,78.28229530586914,Kharif,2020
Cotton,11.482060784511228,77.60028016450211,Rabi,2013
Cotton,8.03562437380745,78.42009900125058,Whole Year,2012
Cotton,12.669828266431658,78.23875885833651,Kharif,2002
Rice,9.353957483189244,80.29663016236744,Rabi,2005
Maize,12.378299255429264,79.8799805710954,Rabi,2011
Cotton,10.319960004827447,78.35504868074689,Kharif,2001
Groundnut,10.49640129565338,77.00157154112699,Kharif,2012
Cotton,8.774974185360701,78.14951475270104,Whole Year,2022
Rice,8.26560965787744,78.95516858768529,Whole Year,2016
Rice,10.771995045474972,80.7516587187149,Kharif,2019
Cotton,8.04699535542562,79.59346838025587,Rabi,2001
Cotton,10.551540530603068,78.32004147524768,Whole Year,2022
Maize,9.540777047413496,79.1255189764618,Kharif,2011
Rice,8.140078682867388,79.49895454204645,Rabi,2024
Groundnut,10.409215886793758,78.48220037665494,Whole Year,2010
Rice,11.284077059279632,77.98111202875377,Kharif,2005
Maize,10.035978452215728,77.86624472375516,Kharif,2022
Maize,9.112753386905949,77.76244698148201,Rabi,2005
Groundnut,8.507398595000193,78.40720595709641,Rabi,2007
Cotton,11.10211214849391,79.6114848337526,Rabi,2008
Maize,11.749996172538044,80.49697504899258,Rabi,2012
Maize,12.768222341828778,79.04516848624108,Whole Year,2024
Cotton,8.387121976458497,77.36458722449544,Whole Year,2013
Groundnut,11.726649579619147,78.70068357275571,Rabi,2010
Groundnut,12.404797243927206,80.46916601946906,Kharif,2010
Maize,8.544688755348341,77.6924624220207,Rabi,2020
Groundnut,8.286703903751448,77.91959659828875,Rabi,2003
Rice,10.95526827148699,80.06416563522603,Whole Year,2001
Rice,9.539512230522668,78.2806268475145,Rabi,2010
Maize,10.028870675634593,77.15446026640191,Rabi,2014
Maize,9.948313627773427,77.47819563649675,Whole Year,2000
Rice,11.254689174247545,77.2831038412102,Kharif,2005
Cotton,9.74053858052201,81.4388647449312,Kharif,2003
Cotton,13.010749089812812,79.50327866515941,Rabi,2008
Groundnut,11.172502647661098,80.75323398404035,Whole Year,2004
Rice,11.514287206761532,81.2080905513101,Whole Year,2018
Maize,10.4514047920662,80.34846462891166,Rabi,2019
Cotton,11.216506914626393,80.13442725910298,Kharif,2012
Groundnut,9.360239314255713,80.05488665535745,Whole Year,2009
Groundnut,10.574162395041037,78.74295169520875,Whole Year,2005
Rice,11.800735303139959,79.24852848704043,Whole Year,2024
Cotton,10.917820524613084,78.24364463713162,Whole Year,2009
Cotton,8.761535107298348,79.05018869454642,Rabi,2008
Rice,13.041712953673898,77.99890733565844,Kharif,2004
